short_id,downtime_start_week,error_week,error_code,error_message,error_category,prior_error_week,prior_error_code,prior_error_message,prior_error_category
OD18,2024-11-25,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2024-12-02,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2024-12-09,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2024-12-16,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2024-12-23,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2024-12-30,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-01-06,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-01-13,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-01-20,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-01-27,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-02-03,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-02-10,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-02-17,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-02-24,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-03-03,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-03-10,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-03-17,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2025-03-24,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD19,2024-11-11,2024-11-04,21.0,drops per volume,Process Issue,2024-11-04,30.0,distillation rate,Calibration Issue
OD19,2024-11-18,2024-11-04,21.0,drops per volume,Process Issue,2024-11-04,30.0,distillation rate,Calibration Issue
OD19,2024-11-25,2024-11-04,21.0,drops per volume,Process Issue,2024-11-04,30.0,distillation rate,Calibration Issue
OD19,2024-12-02,2024-11-04,21.0,drops per volume,Process Issue,2024-11-04,30.0,distillation rate,Calibration Issue
OD19,2024-12-09,2024-11-04,21.0,drops per volume,Process Issue,2024-11-04,30.0,distillation rate,Calibration Issue
OD19,2024-12-16,2024-11-04,21.0,drops per volume,Process Issue,2024-11-04,30.0,distillation rate,Calibration Issue
OD19,2024-12-23,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2024-12-30,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-01-06,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-01-13,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-01-20,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-01-27,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-02-03,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-02-10,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-02-17,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-02-24,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-03-03,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-03-10,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-03-17,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OD19,2025-03-24,2024-12-16,21.0,drops per volume,Process Issue,2024-11-04,21.0,drops per volume,Process Issue
OF01,2023-12-18,2023-11-27,No error code,connected sensors,Sensor Issue,2023-11-27,92.0,flash outside dipping,Safety Hazard
OF01,2023-12-25,2023-11-27,No error code,connected sensors,Sensor Issue,2023-11-27,92.0,flash outside dipping,Safety Hazard
OF01,2024-01-01,2023-11-27,No error code,connected sensors,Sensor Issue,2023-11-27,92.0,flash outside dipping,Safety Hazard
OF01,2024-03-04,2024-02-12,92.0,flash outside dipping,Safety Hazard,2024-02-05,92.0,flash outside dipping,Safety Hazard
OF01,2024-03-11,2024-02-12,92.0,flash outside dipping,Safety Hazard,2024-02-05,92.0,flash outside dipping,Safety Hazard
OF01,2024-03-18,2024-02-12,92.0,flash outside dipping,Safety Hazard,2024-02-05,92.0,flash outside dipping,Safety Hazard
OF01,2024-03-25,2024-02-12,92.0,flash outside dipping,Safety Hazard,2024-02-05,92.0,flash outside dipping,Safety Hazard
OF01,2024-04-01,2024-02-12,92.0,flash outside dipping,Safety Hazard,2024-02-05,92.0,flash outside dipping,Safety Hazard
OF01,2024-04-08,2024-02-12,92.0,flash outside dipping,Safety Hazard,2024-02-05,92.0,flash outside dipping,Safety Hazard
OF02,2023-10-02,2023-09-25,No error code,flame outside of the cup,Safety Hazard,,,,
OF02,2023-10-09,2023-10-02,No error code,shutter motor,Door Opened,2023-09-25,No error code,flame outside of the cup,Safety Hazard
OF02,2023-10-16,2023-10-09,No error code,flame outside of the cup,Safety Hazard,2023-10-02,No error code,shutter motor,Door Opened
OF02,2023-10-23,2023-10-16,No error code,flame outside of the cup,Safety Hazard,2023-10-16,No error code,flame outside of the cup,Safety Hazard
OF02,2023-10-30,2023-10-23,No error code,flame outside of the cup,Safety Hazard,2023-10-23,No error code,flame outside of the cup,Safety Hazard
OF02,2023-11-06,2023-10-30,No error code,flame outside of the cup,Safety Hazard,2023-10-30,No error code,flame outside of the cup,Safety Hazard
OF02,2023-11-13,2023-11-06,92.0,flash outside dipping,Safety Hazard,2023-11-06,86.0,electric igniter failed,Ignition Test Failire
OF02,2023-11-20,2023-11-06,92.0,flash outside dipping,Safety Hazard,2023-11-06,86.0,electric igniter failed,Ignition Test Failire
OF02,2023-12-18,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2023-12-25,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-01-01,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-01-08,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-01-29,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-02-05,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-02-12,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-02-19,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-02-26,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-03-04,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-03-11,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-03-18,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-03-25,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
OF02,2024-04-01,2023-12-11,92.0,flash outside dipping,Safety Hazard,2023-12-11,92.0,flash outside dipping,Safety Hazard
