product,avg_ibp,std_ibp,avg_fbp,std_fbp,n_tests
180608-3QQQQQQQQ,34.042,0.0,148.123,0.0,2
194701-6 opppppp,34.104,,139.758,,1
186954-8 ez,34.119,,131.172,,1
176756-99a,34.14566666666666,1.4413418516553698,146.24033333333333,13.444633923366363,3
193260-2opt==,34.147,,123.257,,1
179306-49,34.171,1.1337856940356947,149.806,6.512421208736436,6
189814-61x,34.188,,134.741,,1
192734-1a,34.23,,125.376,,1
192193-3 ez,34.246,,137.159,,1
190878-366,34.337,,126.872,,1
180190-7wwwwweee,34.431,0.0,156.855,0.0,2
192922-7opt<<<,34.432,,127.656,,1
191120-3ppp,34.437,,118.272,,1
191549-32 ez,34.5185,0.3641599923110724,150.999,9.755245153249604,2
191767-2A,34.526,,137.329,,1
192158-26x,34.573,,124.339,,1
191332-6x,34.574,,131.082,,1
"193250-9opt,,",34.584,,134.793,,1
192379-15BBB,34.589,,148.317,,1
193249-6AAAA,34.589,,137.206,,1
180096_1BAGELS,34.632,0.0,185.669,0.0,2
176756-3tttttttt,34.639,,172.917,,1
181693-6gtttgyu,34.652,0.0,132.737,0.0,2
184477-3,34.654,,163.996,,1
177756-20,34.657,0.0,154.59,0.0,4
192433-1optttttt,34.668,,135.166,,1
191878-16AA,34.68,,132.762,,1
Gas Handblend,34.69906666666667,4.102103440686889,137.82906666666668,14.400686077240836,15
191508-41optt,34.707,,129.093,,1
193067-7AAA,34.747,,155.372,,1
192935-244,34.756,,155.742,,1
192729-1a,34.782,,135.841,,1
192606-1 oppppppp,34.79,,128.641,,1
177492-20qqqqq,34.864,0.0,132.674,0.0,4
1790640-4uuuu-,34.879,0.0,156.482,0.0,3
1932255-1AAA,34.912,,132.855,,1
192556-6AAA,34.918,,142.223,,1
175707-6BAGEL,34.949,,153.406,,1
191901-37 opppt,34.96,,136.413,,1
178931-6PPO,34.977,0.0,156.483,0.0,3
190934-66,35.024,,150.928,,1
193086-14opt<<,35.038,,136.876,,1
192183_111A,35.051,,125.721,,1
176732-95aaaaaa,35.067,,139.349,,1
175707-5BAGEL,35.082,,175.898,,1
192434-1 opppppp,35.084,,127.302,,1
177492-110dddd,35.102,0.0,140.417,0.0,4
191738-20 opppp,35.111,,137.159,,1
191237-29 ez,35.143,,136.266,,1
191237-29zzz,35.145,,148.031,,1
178083-1a,35.149,0.0,134.081,0.0,5
192264-24AA,35.162,,130.831,,1
190779-2xxx,35.179,,127.501,,1
192057-2 opppppp,35.182,,119.104,,1
177492-111ddddd,35.242,0.0,137.662,0.0,4
191393-6optz,35.25,,103.743,,1
175822-17a,35.3,,133.656,,1
192834-5 opppppp,35.309,,145.666,,1
192972-1 oppppppp,35.311,,140.826,,1
189335-75x,35.32,,136.144,,1
192788-19opt;;,35.333,,82.264,,1
17089-181x,35.335,,131.419,,1
180469-10tyutyt,35.364,0.0,121.359,0.0,3
192039-12so,35.435,,136.264,,1
189480-2 ez,35.475,,122.968,,1
191760-7HB,35.481,,150.204,,1
176800-6,35.494,,176.721,,1
191974-6 so,35.495,,142.6,,1
177811-4fff,35.508,0.0,149.422,0.0,4
192865-7xxx,35.514,,156.331,,1
2002-1 optimize,35.542,0.0,158.386,0.0,4
177766-1aaaaa,35.545,0.0,157.26,0.0,4
191283-15x,35.546,,137.485,,1
180806-44,35.567,0.0,123.921,0.0,2
192595-5 deeeeecubed,35.572,,169.172,,1
192779-6AAA,35.585,,128.479,,1
193038-1 ez,35.62,,140.446,,1
176957-3,35.627,,130.848,,1
191620-33rrr,35.711,,138.862,,1
183696-45b ez,35.726,,123.416,,1
179109-21kjf,35.762,0.0,151.02,0.0,4
191548-6OPTTTT,35.776,,135.033,,1
180872-55,35.791,0.0,165.233,0.0,2
191732-6 oppppp,35.834,,127.251,,1
189564-6a,35.857,,142.102,,1
191656-7 ez,35.87,,138.661,,1
185461-13 ez,35.915,0.0,150.744,0.0,2
192379-9A,35.923,,142.95,,1
192439-7BBB,35.9255,0.023334523779156954,109.53550000000001,33.87677877986631,2
190751-6 ez,35.967,,155.455,,1
192429-7 spk optttt,35.972,,157.354,,1
192246-6AA,35.977,,149.764,,1
192710-7AAA,35.982,,144.065,,1
176756-112CCC,35.9975,0.27223611075681686,175.704,0.6180113267570492,2
174869-25opt,36.013,0.0,128.974,0.0,12
190708-6a10,36.032,,144.981,,1
192103-6so,36.068,,133.842,,1
192383-88X,36.084,,133.388,,1
190694-12a,36.09,,139.297,,1
194620-144,36.101,,149.143,,1
192729-2,36.112,,139.512,,1
189914-12optee,36.12,,155.205,,1
178919-3bkkp,36.153,0.0,141.72,0.0,3
191978-22 ez,36.171,,145.716,,1
192383-88AAAAA,36.171,,131.511,,1
192439-6BBB,36.178,,137.983,,1
1873-1BAGELS,36.21,,161.405,,1
190296-8a,36.23,,122.396,,1
194155-53AAA,36.247,,147.588,,1
177640-1b,36.319,,145.993,,1
190557-5X,36.391,,158.931,,1
DQC 24585A,36.436,,144.283,,1
194668-16optttt,36.456,,147.525,,1
190425-27x,36.475,,132.352,,1
184579-53A,36.491,,146.674,,1
178493-10GGG,36.551,0.0,147.075,0.0,4
192458-26 oppppp,36.626,,123.47,,1
179100-4a,36.648,0.0,104.40500000000002,0.0,3
175730-1aaa,36.729,,129.104,,1
191097-6 spkqqq,36.768,,144.386,,1
192868_1B,36.802,,129.721,,1
193961-20opt<<,36.829,,158.843,,1
176611-37a,36.846,,131.185,,1
186622-13 ez,36.914,0.0,176.76200000000003,0.0,3
192957-5 ez,36.955,,158.541,,1
G1+G2 EVAP,36.98226709996905,16.468788205889094,133.86334880841844,30.535414782205454,3231
191712-17 opppp,37.012,,102.575,,1
193011-3AAA,37.043,0.059396969619672245,138.228,2.6573072836990623,2
189497-722,37.117,,132.886,,1
190723-3 ez,37.123,,109.34,,1
179412-19,37.197,0.0,163.258,0.0,3
192211-6,37.222,,147.571,,1
187048.3B,37.223,,106.676,,1
RFG-2380-1CCC,37.275285714285715,3.0819184887710076,148.82385714285715,13.864204333805946,7
192428-1 oppp ez,37.296,,115.801,,1
192595-5 deeeeeeee,37.33,3.6104872247385154,290.426,0.8796408357960851,2
184579-83 ez,37.338,,138.624,,1
191408-1x,37.412,,109.049,,1
190714-13optx,37.554,,173.438,,1
AUTO G1+G2 EVAP,37.6565839269813,16.7191610048652,133.72831945681213,29.97764614478971,4492
RFG-2393-1CCC,37.678,,153.047,,1
174835-333333333,37.678,0.0,110.212,0.0,2
190170-100x,37.696,,131.611,,1
