instrument_id,instrument_type,test_count,error_count,critical_error_count,error_rate,critical_error_rate,short_id,display_id,downtime_hours
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,14041.333055555555
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,7176.217777777778
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,8301.653333333334
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,9197.296388888888
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,6986.826388888889
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,14037.668333333333
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,17213.843055555557
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,1989.9725
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,3661.2969444444443
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,572.7569444444445
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,4700.712222222222
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,2375.8869444444445
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,16006.051111111112
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,11463.009166666667
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,4493.105277777778
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,4216.064722222222
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,14934.448333333334
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,2900.2697222222223
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,4719.977222222222
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,11436.081944444444
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,1397.2966666666666
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,5747.185555555556
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,11541.319444444445
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,22.913333333333334
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,9939.080555555556
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,6681.003333333333
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,9978.888611111111
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,1176.38
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,13789.79361111111
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,863.1666666666666
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,13056.585833333333
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,4433.065277777778
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,11494.379722222222
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,4710.587777777778
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,4654.239444444444
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,1530.3158333333333
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,7750.265
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,10818.756388888889
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,3143.7869444444445
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,7657.233055555555
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,4197.498888888889
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,12142.205555555556
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,744.7616666666667
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,13378.427222222223
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,7258.225555555556
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,4318.321388888889
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,8959.075
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,4715.404166666666
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,4248.294166666667
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,14041.333055555555
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,7176.217777777778
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,8301.653333333334
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,9197.296388888888
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,6986.826388888889
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,14037.668333333333
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,17213.843055555557
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,1989.9725
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,3661.2969444444443
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,572.7569444444445
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,4700.712222222222
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,2375.8869444444445
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,16006.051111111112
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,11463.009166666667
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,4493.105277777778
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,4216.064722222222
nan,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05,OF05,14934.448333333334
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,2900.2697222222223
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,4719.977222222222
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,11436.081944444444
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,1397.2966666666666
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,5747.185555555556
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,11541.319444444445
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,22.913333333333334
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,9939.080555555556
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,6681.003333333333
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,9978.888611111111
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,1176.38
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,13789.79361111111
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,863.1666666666666
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,13056.585833333333
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,4433.065277777778
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,11494.379722222222
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,4710.587777777778
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,4654.239444444444
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,1530.3158333333333
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,7750.265
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,10818.756388888889
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,3143.7869444444445
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,7657.233055555555
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,4197.498888888889
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,12142.205555555556
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,744.7616666666667
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,13378.427222222223
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,7258.225555555556
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,4318.321388888889
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,8959.075
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,4715.404166666666
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,4248.294166666667
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,14041.333055555555
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,7176.217777777778
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,8301.653333333334
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,9197.296388888888
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,6986.826388888889
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,14037.668333333333
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,17213.843055555557
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,1989.9725
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,3661.2969444444443
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,572.7569444444445
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,4700.712222222222
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,2375.8869444444445
nan,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06,OF06,16006.051111111112
