product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_t50,std_t50,avg_test_duration,std_test_duration
179398-27werdry,41.772,0.0,44.505,0.0,54.673333333333325,0.0028867513459455035,36.2,0.0
179398-2ertret,39.9,0.0,123.801,0.0,87.02,0.0,36.36666666666667,0.0
179398_16BBB,40.617,0.0,146.682,0.0,90.67533333333334,0.004618802153508293,35.06666666666667,0.0
179412-19,37.197,0.0,163.258,0.0,103.95466666666665,0.004041451884328217,33.86666666666667,0.0
179526-17ggggsfhc,33.787,0.0,127.699,0.0,65.984,0.0034641016151368605,70.06666666666666,0.0
179541-1qQQE,26.301,0.0,38.008,0.0,39.830666666666666,0.0005773502691928953,34.083333333333336,0.0
179552-3a,25.176,0.0,126.057,0.0,67.12,0.0,32.016666666666666,0.0
179562-6a,190.418,0.0,317.256,0.0,260.80266666666665,0.0023094010767203024,42.96666666666667,0.0
179934-9a,27.996,0.0,45.607,0.0,42.9405,0.0007071067811899238,33.95,0.0
179936-6 ez,28.883,0.0,111.634,0.0,50.730999999999995,0.0014142135623723114,33.666666666666664,0.0
179963-11 ez,27.124,0.0,82.621,0.0,48.684,0.005656854249491757,32.6,0.0
179972-17ttstfg,26.891,0.0,79.033,0.0,48.186,0.0,34.18333333333333,0.0
179974°8GUKHJ,29.348,0.0,109.671,0.0,50.0135,0.00494974746830937,27.566666666666663,0.0
179974°8JILK,28.422,0.0,99.839,0.0,47.7815,0.002121320343559723,32.36666666666667,0.0
180006°4AAAA,32.489,0.0,176.689,0.0,108.274,0.005656854249499294,35.516666666666666,0.0
180083-14qqqqq,31.936,0.0,72.384,0.0,51.494,0.0,35.06666666666667,0.0
180095_2A,99.017,0.0,121.212,0.0,120.173,0.0,38.71666666666667,0.0
180096_1BAGELS,34.632,0.0,185.669,0.0,125.533,0.0,31.53333333333333,0.0
180129-4a,90.082,0.0,150.989,0.0,103.429,0.0,78.76666666666667,0.0
180131-1spkopt,29.008,0.0,139.134,0.0,62.031,0.0,34.95,0.0
180167-11,27.217,0.0,79.007,0.0,48.69533333333334,0.004618802153517523,35.766666666666666,0.0
180190-7wwwwweee,34.431,0.0,156.855,0.0,66.183,0.0,34.28333333333333,0.0
180210-14,32.013,0.0,59.044999999999995,0.0,50.303999999999995,0.00346410161513686,36.63333333333333,0.0
180210-22 ez,31.673,0.0,60.64000000000001,0.0,49.78466666666666,0.004041451884326166,34.95,0.0
180309-12,41.272,0.0,44.237,0.0,54.06333333333333,0.0028867513459455035,36.833333333333336,0.0
180313-6 ez,215.986,0.0,338.982,0.0,284.8306666666667,0.0005773502692087918,38.25,0.0
180349--1qqqstu,139.07,0.0,283.689,0.0,207.85533333333333,0.004618802153522651,24.433333333333334,0.0
180378-148GGG,33.891,,137.734,,110.35,,36.083333333333336,
180444-19,33.672,0.0,79.445,0.0,54.751000000000005,0.0014142135623723114,35.083333333333336,0.0
180444-25,32.98,0.0,70.717,0.0,52.524,0.0056568542494892455,36.16666666666666,0.0
180469-10tyutyt,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541464,30.416666666666668,0.0
180525-25tttt,31.346,0.0,172.508,0.0,108.06450000000001,0.006363961030674145,37.13333333333333,0.0
180608-3QQQQQQQQ,34.042,0.0,148.123,0.0,66.08,0.0,34.233333333333334,0.0
180638-14rrrrrrrr,32.207,0.0,136.708,0.0,70.6005,0.0007071067811899238,34.18333333333333,0.0
180640-777,33.075,0.0,144.722,0.0,82.72,0.0,33.71666666666667,0.0
180690-26ttttt,30.115,0.0,87.234,0.0,57.83,0.0,34.78333333333333,0.0
180702-6spksssss,33.498,0.0,151.168,0.0,65.8135,0.004949747468294297,34.666666666666664,0.0
180769-14jjjjj,28.321,0.0,75.339,0.0,47.8005,0.0007071067811899238,35.28333333333333,0.0
180769-26rrrrrrpp,29.209,0.0,80.023,0.0,48.6605,0.0007071067811899238,35.7,0.0
180806-44,35.567,0.0,123.921,0.0,76.924,0.005656854249494269,37.46666666666667,0.0
180872-55,35.791,0.0,165.233,0.0,70.40350000000001,0.004949747468304346,33.06666666666667,0.0
180901-8eeeeer,33.465,0.0,127.944,0.0,81.6405,0.0007071067811899238,35.166666666666664,0.0
181020-10,27.234,0.0,74.313,0.0,48.034,0.0056568542494892455,39.45,0.0
181038-7&&,31.479,0.0,164.009,0.0,93.9135,0.00494974746830937,33.65,0.0
181048-10 ez,27.225,0.0,82.783,0.0,49.2145,0.006363961030679169,34.95,0.0
181096-31GGG,58.646,0.0,184.596,0.0,85.008,0.0,36.03333333333333,0.0
181241-13,26.929,0.0,71.679,0.0,47.226,0.005196152422706829,37.1,0.0
181241-32,27.672,0.0,81.928,0.0,49.294000000000004,0.00346410161513686,34.733333333333334,0.0
181250-44,29.974,2.767094360516099,141.1625,10.486148363436406,71.42399999999999,5.402005997775271,32.541666666666664,0.027386127875259646
181260-31 ez,28.763,0.0,68.6,0.0,46.58533333333333,0.004618802153517523,34.68333333333333,0.0
181287-8 ez,33.016,0.0,127.942,0.0,77.26,0.0,34.45,0.0
181294-27 ez,27.814000000000004,0.0,145.182,0.0,66.176,0.005196152422706829,35.31666666666667,0.0
181307-1,28.19,0.0,73.904,0.0,48.56333333333333,0.0028867513459455035,36.0,0.0
181478-4wweerr,30.383,0.0,101.57800000000002,0.0,56.791333333333334,0.002309401076759787,35.11666666666667,0.0
181599-38b,27.34,0.0,144.261,0.0,77.6305,0.0007071067811899238,35.46666666666667,0.0
181626-25GGG,32.498,0.0,143.768,0.0,82.75450000000001,0.0063639610306841935,33.25,0.0
181647-14444444cc,27.942,0.0,154.299,0.0,65.54,0.0,34.9,0.0
181652-11,28.194,0.0,44.519,0.0,42.8915,0.002121320343559723,35.61666666666667,0.0
181660-88,28.404,0.0,149.807,0.0,65.49449999999999,0.006363961030674145,32.85,0.0
181693-6gtttgyu,34.652,0.0,132.737,0.0,91.91,0.0,35.3,0.0
181720-47A,41.787,0.0,139.009,0.0,106.8635,0.00494974746830937,36.35,0.0
181720-61b,42.139,0.0,140.603,0.0,107.0535,0.00494974746830937,35.5,0.0
181765-14,26.123,0.0,76.433,0.0,47.5505,0.0007071067811899238,33.766666666666666,0.0
181781-5 ez,26.284,0.0,155.556,0.0,88.873,0.004242640687119446,33.88333333333333,0.0
181852-36 ez,33.881,0.0,120.703,0.0,83.312,0.0028284271247395985,35.583333333333336,0.0
181928-32uuiiiui,24.152,,174.299,,98.648,,72.08333333333333,
181954-1yyyyiio,30.902,,126.397,,86.509,,36.4,
182024=21tttyyuu,25.134,,148.631,,65.69,,35.55,
182043-2peener,32.507,,164.478,,100.92,,29.03333333333333,
182077-18rrttr,26.832,,78.976,,47.953,,33.06666666666667,
182235-13xxx,28.728,,80.239,,51.002,,33.2,
182245-5hjhjhj,66.84,,282.572,,215.757,,29.73333333333333,
182281-18,27.228,,74.046,,48.07,,33.583333333333336,
182335-399,38.178,0.0,154.25,0.0,88.41533333333332,0.004618802153522651,36.56666666666667,0.0
182335-8 jgg,44.563,,154.884,,91.86,,36.9,
182351-9 AN,25.988500000000002,0.5536789081528516,140.438,13.042342580993653,82.31725,15.029871176538185,34.166666666666664,1.0007404665953519
