merged_product,avg_ibp,avg_fbp,avg_t50
185461-13 ez,35.915,150.744,72.888
185465-6a,27.158,160.094,89.095
185498-22a,24.265,155.715,65.82
1855-1 OPT,27.356,149.356,96.028
185590-10GG,71.836,124.406,103.498
185599-1a,25.345,155.084,66.537
185642-8a,26.86,155.679,66.594
185725-7 ez,26.895,71.796,46.387
185745-6bj,28.262,63.69100000000001,45.106
185834-6,25.256,69.709,45.298
185900-2aa,30.756,163.921,89.484
185914-5aa,31.265,153.655,90.083
185929-1222,30.442,162.977,92.157
185947-2aa,23.878,101.559,62.439
186064-22,32.861,126.754,92.469
186217-6 ez,41.202,44.319,54.051
186256-21a,26.698,160.43,98.719
1864-1a,22.689,148.644,91.885
186422-9 ez,27.4,69.331,45.984
186479-22 ez,28.194,157.788,89.53514285714286
186492-1opt,29.449,47.138,44.89
186610-6 10% ez,26.34,140.252,68.681
186622-13 ez,36.914,176.76200000000003,125.004
186893-1kls,31.189,152.004,65.855
1869-1,43.1,157.161,107.892
186907-1GGG,43.202,297.264,187.319
186929_1A,25.875,38.074,39.360857142857135
186954-8 ez,34.119,131.172,83.91
187048.3B,37.223,106.676,94.599
1873-1BAGELS,36.21,161.405,88.66
188078-4lol,38.086,109.353,73.611
188090-13 ez,28.332,81.808,47.647
188573-8x,38.637,144.845,85.646
188651-9CCC,42.916,144.912,96.051
188880-75opttt,31.875,138.639,95.696
1891611-44,25.479,37.722,38.955
189261-7optt,27.643,72.529,46.115
189335-4a,33.723,137.009,77.665
189335-75x,35.32,136.144,77.027
189390-1x,26.986,69.392,45.791
189411-1GGG,41.746,303.294,157.984
189446-11qwqw,26.957,71.251,46.059
189480-2 ez,35.475,122.968,72.579
189497-722,37.117,132.886,104.619
189519-288,26.832,64.284,44.303
189524-15a,26.118,49.313,41.132
189524-9a,26.029,49.003,41.078
189533-6x,43.046,45.393,55.054
189545-13b,27.192,74.575,46.401
189545-33 ez,27.338,77.694,47.27
189557-4opt<,41.641,109.795,82.508
189564-6a,35.857,142.102,85.633
189566-1x,25.82,40.539,39.867
189571-1OPTT,27.312,60.036,43.236
189706-6xzxxzz,158.488,228.934,199.877
189777-22,24.634,35.463,37.84
189778-6a,26.293,43.319,40.709
189812-7a,43.337,154.272,110.45
189814-61x,34.188,134.741,83.358
189872-6a,32.56,141.571,83.844
189883-6opty,55.694,130.194,102.363
189914-12optee,36.12,155.205,93.006
190043-8a,27.146,73.022,47.584
190092-29 compoptt,37.853,135.378,80.322
190135-27optx,50.568,108.37,81.28
190154-20x,51.068,132.24,98.197
190170-100x,37.696,131.611,93.921
190280-8x,27.964,69.718,45.561
190296-8a,36.23,122.396,69.787
190318.11X,50.281,144.258,101.888
190406-11opyy,32.835,83.886,54.168
190425-27x,36.475,132.352,87.645
190447-10opptt,29.543,81.652,52.56
190557-13  ez,31.805,150.343,78.53
190557-26 ez,33.236,147.642,82.053
190557-5X,36.391,158.931,100.51
190606-4x,28.407,79.373,49.871
190613-2 jbva,44.7,157.753,101.228
190645-52zzz,38.376,126.385,82.087
190691-26 ez,27.855,77.848,48.806
190694-12a,36.09,139.297,85.635
190708-6a10,36.032,144.981,81.587
190714-13optx,37.554,173.438,122.206
190723-3 ez,37.123,109.34,73.902
190751-6 ez,35.967,155.455,68.848
190770-6 jba,55.481,78.422,73.976
190779-2xxx,35.179,127.501,67.378
190836-6zzz,30.2,86.923,51.885
190844-199,32.29,99.306,61.771
190878-16x,33.788,125.816,65.627
190878-366,34.337,126.872,65.563
190884-6 ez,38.462,155.782,91.387
190934-66,35.024,150.928,94.276
190993-11zzz,28.171,76.886,49.489
191097-6 spkqqq,36.768,144.386,116.757
191102-6 opjb,46.941,167.277,102.348
191120-3ppp,34.437,118.272,87.238
191182-19ppp,57.616,87.019,76.596
191194-3x,42.286,106.363,79.491
19119511DDD,52.999,156.192,111.191
191216-196optwww,27.793,77.724,48.071
191230-6 oppjb,41.842,44.453,54.522
