instrument_type,site_name,short_id,operator
OptiDist,Corpus Christi,OD05,john a
OptiDist,Corpus Christi,OD05,shaylen
OptiDist,Corpus Christi,OD05,vanessa
OptiDist,Corpus Christi,OD08,1-PONCE
OptiDist,Corpus Christi,OD08,Anais
OptiDist,Corpus Christi,OD08,Anthony M
OptiDist,Corpus Christi,OD08,CHRIS
OptiDist,Corpus Christi,OD08,CHRISTIAN L
OptiDist,Corpus Christi,OD08,CONNER
OptiDist,Corpus Christi,OD08,Connor B
OptiDist,Corpus Christi,OD08,DEIA
OptiDist,Corpus Christi,OD08,Erik
OptiDist,Corpus Christi,OD08,Greg
OptiDist,Corpus Christi,OD08,JACOB V
OptiDist,Corpus Christi,OD08,JAVI B
OptiDist,Corpus Christi,OD08,JOSE CORTES
OptiDist,Corpus Christi,OD08,John A
OptiDist,Corpus Christi,OD08,LOUIS
OptiDist,Corpus Christi,OD08,MAC
OptiDist,Corpus Christi,OD08,MICHAEL
OptiDist,Corpus Christi,OD08,Mary C
OptiDist,Corpus Christi,OD08,Nikademus
OptiDist,Corpus Christi,OD08,PAC user
OptiDist,Corpus Christi,OD08,RYAN
OptiDist,Corpus Christi,OD08,Richard
OptiDist,Corpus Christi,OD08,VALERIE
OptiDist,Corpus Christi,OD08,WAYNE
OptiDist,Corpus Christi,OD19,Greg
OptiDist,Corpus Christi,OD19,JAG
OptiDist,Corpus Christi,OD19,LA
OptiDist,Corpus Christi,OD19,PAC user
OptiDist,Corpus Christi,OD19,Valerie
OptiDist,KIPIC site 1,OD13,PAC user
OptiDist,KIPIC site 1,OD17,KIPIC
OptiDist,KIPIC site 1,OD17,PAC user
OptiDist,KIPIC site 1,OD18,PAC user
OptiDist,KIPIC site 1,OD20,KIPIC
OptiDist,KIPIC site 1,OD20,PAC user
OptiDist,KIPIC site 1,OD21,PAC user
