short_id,week,instrument_id,test_count_x,error_count_x,critical_error_count_x,error_rate,critical_error_rate,downtime_hours,test_count_y,error_count_y,critical_error_count_y,test_count,error_count,critical_error_count
CPP03,2024-09-09,440b6470-efce-479e-be17-8d0f6792e339,16.0,0.0,0.0,,,57.098333333333336,,,,0,0,0
CPP03,2024-09-16,440b6470-efce-479e-be17-8d0f6792e339,59.0,0.0,0.0,,,165.69611111111112,,,,0,0,0
CPP03,2024-09-23,440b6470-efce-479e-be17-8d0f6792e339,50.0,0.0,0.0,,,160.28055555555557,,,,0,0,0
CPP03,2024-09-30,440b6470-efce-479e-be17-8d0f6792e339,51.0,0.0,0.0,,,164.41555555555556,,,,0,0,0
CPP03,2024-10-07,440b6470-efce-479e-be17-8d0f6792e339,53.0,0.0,0.0,,,160.50083333333333,,,,0,0,0
CPP03,2024-10-14,440b6470-efce-479e-be17-8d0f6792e339,48.0,0.0,0.0,,,163.8827777777778,,,,0,0,0
CPP03,2024-10-21,440b6470-efce-479e-be17-8d0f6792e339,33.0,1.0,1.0,,,90.83027777777778,1.0,,1.0,0,0,0
CPP04,2024-01-08,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,2.0,0.0,0.0,,,3.4827777777777778,,,,0,0,0
CPP04,2024-01-15,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,1.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-01-22,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-01-29,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,2.0,0.0,0.0,,,51.87416666666667,,,,0,0,0
CPP04,2024-02-05,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,1.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-02-12,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-02-19,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-02-26,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-03-04,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-03-11,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,7.0,0.0,0.0,,,88.5586111111111,,,,0,0,0
CPP04,2024-03-18,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-03-25,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-04-01,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,2.0,0.0,0.0,,,19.96638888888889,,,,0,0,0
CPP04,2024-04-08,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,2.0,0.0,0.0,,,48.24055555555555,,,,0,0,0
CPP04,2024-04-15,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,2.0,0.0,0.0,,,29.086666666666662,,,,0,0,0
CPP04,2024-04-22,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-04-29,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-05-06,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-05-13,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-05-20,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-05-27,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-06-03,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-06-10,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-06-17,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-06-24,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-07-01,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-07-08,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-07-15,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,2.0,0.0,0.0,,,26.54555555555556,,,,0,0,0
CPP04,2024-07-22,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,2.0,0.0,0.0,,,68.53055555555555,,,,0,0,0
CPP04,2024-07-29,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,3.0,0.0,0.0,,,48.13777777777778,,,,0,0,0
CPP04,2024-08-05,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-08-12,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,2.0,0.0,0.0,,,20.10472222222222,,,,0,0,0
CPP04,2024-08-19,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-08-26,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-09-02,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-09-09,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,1.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-09-16,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,6.0,0.0,0.0,,,48.59166666666667,,,,0,0,0
CPP04,2024-09-23,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,4.0,0.0,0.0,,,22.6975,,,,0,0,0
CPP04,2024-09-30,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,7.0,0.0,0.0,,,77.9975,,,,0,0,0
CPP04,2024-10-07,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,16.0,0.0,0.0,,,98.93166666666669,,,,0,0,0
CPP04,2024-10-14,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,19.0,0.0,0.0,,,100.01444444444444,,,,0,0,0
CPP04,2024-10-21,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,23.0,0.0,0.0,,,99.33583333333333,,,,0,0,0
CPP04,2024-10-28,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,24.0,0.0,0.0,,,98.79555555555557,,,,0,0,0
CPP04,2024-11-04,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,14.0,0.0,0.0,,,99.74027777777778,,,,0,0,0
CPP04,2024-11-11,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,8.0,0.0,0.0,,,75.42138888888888,,,,0,0,0
CPP04,2024-11-18,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,6.0,0.0,0.0,,,92.42111111111112,,,,0,0,0
CPP04,2024-11-25,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-12-02,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,11.0,0.0,0.0,,,75.02055555555556,,,,0,0,0
CPP04,2024-12-09,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,6.0,0.0,0.0,,,27.8825,,,,0,0,0
CPP04,2024-12-16,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,4.0,0.0,0.0,,,72.19361111111111,,,,0,0,0
CPP04,2024-12-23,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2024-12-30,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2025-01-06,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,2.0,0.0,0.0,,,0.4105555555555555,,,,0,0,0
CPP04,2025-01-13,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,1.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2025-01-20,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2025-01-27,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP04,2025-02-03,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,4.0,0.0,0.0,,,48.45611111111111,,,,0,0,0
CPP04,2025-02-10,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,6.0,0.0,0.0,,,92.22805555555556,,,,0,0,0
CPP04,2025-02-17,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,4.0,0.0,0.0,,,67.12555555555555,,,,0,0,0
CPP04,2025-02-24,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,5.0,0.0,0.0,,,94.98416666666668,,,,0,0,0
CPP04,2025-03-03,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,13.0,0.0,0.0,,,99.11138888888888,,,,0,0,0
CPP04,2025-03-10,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,7.0,0.0,0.0,,,99.9113888888889,,,,0,0,0
CPP04,2025-03-17,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,4.0,0.0,0.0,,,97.03555555555556,,,,0,0,0
CPP04,2025-03-24,ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,4.0,0.0,0.0,,,48.65972222222222,,,,0,0,0
