product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_test_duration,std_test_duration,category
185725-7 ez,26.895,,71.796,,35.31666666666667,,Unknown/Needs Review
185745-6bj,28.262,0.0,63.69100000000001,0.0,35.61666666666667,0.0,Unknown/Needs Review
185834-6,25.256,,69.709,,34.21666666666667,,Unknown/Needs Review
185900-2aa,30.756,,163.921,,33.35,,Reformulated Gasoline
185914-5aa,31.265,,153.655,,34.6,,Light Naphtha
185929-1222,30.442,,162.977,,33.0,,Reformulated Gasoline
185947-2aa,23.878,,101.559,,34.1,,Unknown/Needs Review
186064-22,32.861,,126.754,,34.53333333333333,,Light Naphtha
186217-6 ez,41.202,,44.319,,36.45,,Light Naphtha
186256-21a,26.698,,160.43,,31.23333333333333,,Unknown/Needs Review
1864-1a,22.689,0.0,148.644,0.0,33.06666666666667,0.0,Unknown/Needs Review
186422-9 ez,27.4,,69.331,,34.11666666666667,,Unknown/Needs Review
186479-22 ez,28.194,0.0,157.788,0.0,34.21666666666667,0.0,Unknown/Needs Review
186492-1opt,29.449,,47.138,,32.733333333333334,,Unknown/Needs Review
186610-6 10% ez,26.34,0.0,140.252,0.0,36.05,0.0,Unknown/Needs Review
186622-13 ez,36.914,0.0,176.76200000000003,0.0,36.81666666666667,0.0,Reformulated Gasoline
186893-1kls,31.189,0.0,152.004,0.0,41.7,0.0,Light Naphtha
1869-1,43.1,,157.161,,37.4,,Light Naphtha
186907-1GGG,43.202,,297.264,,33.45,,Unknown/Needs Review
186929_1A,25.875,0.0,38.074,0.0,33.483333333333334,0.0,Unknown/Needs Review
186954-8 ez,34.119,,131.172,,34.266666666666666,,Light Naphtha
187048.3B,37.223,,106.676,,35.266666666666666,,Light Naphtha
1873-1BAGELS,36.21,,161.405,,35.483333333333334,,Reformulated Gasoline
188078-4lol,38.086,,109.353,,34.45,,Light Naphtha
188090-13 ez,28.332,,81.808,,32.85,,Unknown/Needs Review
188573-8x,38.637,,144.845,,34.21666666666667,,Light Naphtha
188651-9CCC,42.916,,144.912,,34.78333333333333,,Light Naphtha
188880-75opttt,31.875,,138.639,,34.36666666666667,,Light Naphtha
1891611-44,25.479,,37.722,,34.7,,Unknown/Needs Review
189261-7optt,27.643,,72.529,,35.766666666666666,,Unknown/Needs Review
189268-3optt,55.979,,51.935,,9.933333333333334,,Light Naphtha
189335-4a,33.723,,137.009,,34.2,,Light Naphtha
189335-75x,35.32,,136.144,,36.91666666666666,,Light Naphtha
189390-1x,26.986,,69.392,,34.266666666666666,,Unknown/Needs Review
189411-1GGG,41.746,,303.294,,32.916666666666664,,Unknown/Needs Review
189446-11qwqw,26.957,,71.251,,33.93333333333333,,Unknown/Needs Review
189480-2 ez,35.475,,122.968,,37.28333333333333,,Light Naphtha
189497-722,37.117,,132.886,,33.166666666666664,,Light Naphtha
189519-288,26.832,,64.284,,34.233333333333334,,Unknown/Needs Review
189524-15a,26.118,,49.313,,36.083333333333336,,Unknown/Needs Review
189524-9a,26.029,,49.003,,35.583333333333336,,Unknown/Needs Review
189533-6x,43.046,,45.393,,36.61666666666667,,Light Naphtha
189545-13b,27.192,,74.575,,32.9,,Unknown/Needs Review
189545-33 ez,27.338,,77.694,,35.483333333333334,,Unknown/Needs Review
189557-4opt<,41.641,,109.795,,36.65,,Light Naphtha
189564-6a,35.857,,142.102,,36.31666666666667,,Light Naphtha
189566-1x,25.82,,40.539,,35.86666666666667,,Unknown/Needs Review
189571-1OPTT,27.312,,60.036,,32.3,,Unknown/Needs Review
